Document Name,Link,Current Status,ID #,Version,Facility/Project Name,County,Document Date,Document Types,Page count,Linked
GW1-2022-06922_Well Construction - GW1_20220603,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2436800&dbid=0&repo=WaterResources,,GW1-2022-06922,,,Graham,6/3/2022,Well Construction - GW1,1,
GW1-2022-03954_Well Construction - GW1_20220412,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2295901&dbid=0&repo=WaterResources,,GW1-2022-03954,,,Henderson,4/12/2022,Well Construction - GW1,1,
GW1-2022-01817_Well Construction - GW1_20220218,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2216416&dbid=0&repo=WaterResources,,GW1-2022-01817,,,Currituck,2/18/2022,Well Construction - GW1,4,
GW1-2022-05605_Well Construction - GW1_20220610,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2371725&dbid=0&repo=WaterResources,,GW1-2022-05605,,,Union,6/10/2022,Well Construction - GW1,1,
GW1-2022-06328_Well Construction - GW1_20220705,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2409229&dbid=0&repo=WaterResources,,GW1-2022-06328,,,Buncombe,7/5/2022,Well Construction - GW1,1,
GW1-2022-06691_Well Construction - GW1_20220725,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2423064&dbid=0&repo=WaterResources,,GW1-2022-06691,,,Cabarrus,7/25/2022,Well Construction - GW1,4,
GW1-2022-07017_Well Construction - GW1_20220725,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2439027&dbid=0&repo=WaterResources,,GW1-2022-07017,,,Rutherford,7/25/2022,Well Construction - GW1,1,
GW1-2022-08344_Well Construction - GW1_20220511,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492213&dbid=0&repo=WaterResources,,GW1-2022-08344,,,Orange,5/11/2022,Well Construction - GW1,1,
GW1-2022-08716_Well Construction - GW1_20220510,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492708&dbid=0&repo=WaterResources,,GW1-2022-08716,,,New Hanover,5/10/2022,Well Construction - GW1,1,
GW1-2022-10477_Well Construction - GW1_20221118,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2602138&dbid=0&repo=WaterResources,,GW1-2022-10477,,,Randolph,11/18/2022,Well Construction - GW1,1,
GW1-2022-00891_Well Construction - GW1_20220107,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2169351&dbid=0&repo=WaterResources,,GW1-2022-00891,,,Lincoln,1/7/2022,Well Construction - GW1,1,
GW1-2022-07911_Well Construction - GW1_20220823,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2479214&dbid=0&repo=WaterResources,,GW1-2022-07911,,,Perquimans,8/23/2022,Well Construction - GW1,1,
GW1-2022-08865_Well Construction - GW1_20220722,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2499365&dbid=0&repo=WaterResources,,GW1-2022-08865,,,Orange,7/22/2022,Well Construction - GW1,2,
GW1-2022-08964_Well Construction - GW1_20220919,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2507379&dbid=0&repo=WaterResources,,GW1-2022-08964,,,Henderson,9/19/2022,Well Construction - GW1,2,
GW1-2022-10264_Well Construction - GW1_20221114,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2584757&dbid=0&repo=WaterResources,,GW1-2022-10264,,,Rowan,11/14/2022,Well Construction - GW1,1,
GW1-2022-09873_Well Construction - GW1_20221028,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2558584&dbid=0&repo=WaterResources,,GW1-2022-09873,,,Rowan,10/28/2022,Well Construction - GW1,1,
GW1-2022-01010_Well Construction - GW1_20220107,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2171227&dbid=0&repo=WaterResources,,GW1-2022-01010,,,Buncombe,1/7/2022,Well Construction - GW1,1,
GW1-2022-06354_Well Construction - GW1_20220705,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2409306&dbid=0&repo=WaterResources,,GW1-2022-06354,,,New Hanover,7/5/2022,Well Construction - GW1,1,
GW1-2022-07000_Well Construction - GW1_20220804 (2),https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2438605&dbid=0&repo=WaterResources,,GW1-2022-07000,,,Macon,8/4/2022,Well Construction - GW1,0,
GW1-2022-10818_Well Construction - GW1_20221209,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2617778&dbid=0&repo=WaterResources,,GW1-2022-10818,,,Guilford,12/9/2022,Well Construction - GW1,2,
GW1-2022-07904_Well Construction - GW1_20220901,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2475867&dbid=0&repo=WaterResources,,GW1-2022-07904,,,Guilford,9/1/2022,Well Construction - GW1,4,
GW1-2022-03742_Well Construction - GW1_20220330,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2273238&dbid=0&repo=WaterResources,,GW1-2022-03742,,,Franklin,3/30/2022,Well Construction - GW1,1,
GW1-2022-10157_Well Construction - GW1_20221110,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2578795&dbid=0&repo=WaterResources,,GW1-2022-10157,,,Chowan,11/10/2022,Well Construction - GW1,1,
GW1-2022-05389_Well Construction - GW1 Attachment_20220609,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2363367&dbid=0&repo=WaterResources,,GW1-2022-05389,,,New Hanover,6/9/2022,Well Construction - GW1 Attachment,0,
GW1-2022-09905_Well Construction - GW1_20221028,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2561522&dbid=0&repo=WaterResources,,GW1-2022-09905,,,Transylvania,10/28/2022,Well Construction - GW1,1,
GW1-2022-07818_Well Construction - GW1_20220822,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2473167&dbid=0&repo=WaterResources,,GW1-2022-07818,,,Mecklenburg,8/22/2022,Well Construction - GW1,1,
GW1-2022-09262_Well Construction - GW1_20221003,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2525376&dbid=0&repo=WaterResources,,GW1-2022-09262,,,Davie,10/3/2022,Well Construction - GW1,1,
GW1-2022-02937_Well Construction - GW1_20220228,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2229166&dbid=0&repo=WaterResources,,GW1-2022-02937,,,Orange,2/28/2022,Well Construction - GW1,1,
GW1-2022-03735_Well Construction - GW1_20220330,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2272531&dbid=0&repo=WaterResources,,GW1-2022-03735,,,Wake,3/30/2022,Well Construction - GW1,1,
GW1-2022-07143_Well Construction - GW1_20220804,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2449512&dbid=0&repo=WaterResources,,GW1-2022-07143,,,Iredell,8/4/2022,Well Construction - GW1,1,
GW1-2022-07947_Well Construction - GW1_20220823,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2479250&dbid=0&repo=WaterResources,,GW1-2022-07947,,,Wake,8/23/2022,Well Construction - GW1,1,
GW1-2022-04529_Well Construction - GW1_20220513,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2324774&dbid=0&repo=WaterResources,,GW1-2022-04529,,,Buncombe,5/13/2022,Well Construction - GW1,4,
GW1-2022-05910_Well Construction - GW1_20220627,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2392052&dbid=0&repo=WaterResources,,GW1-2022-05910,,,Chatham,6/27/2022,Well Construction - GW1,1,
GW1-2022-07114_Well Construction - GW1_20220801,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2449179&dbid=0&repo=WaterResources,,GW1-2022-07114,,,Watauga,8/1/2022,Well Construction - GW1,2,
GW1-2022-01509_Well Construction - GW1_20220120,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2195743&dbid=0&repo=WaterResources,,GW1-2022-01509,,,Iredell,1/20/2022,Well Construction - GW1,1,
GW1-2022-07607_Well Construction - GW1_20220817,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2469344&dbid=0&repo=WaterResources,,GW1-2022-07607,,,Alamance,8/17/2022,Well Construction - GW1,1,
GW1-2022-08923_Well Construction - GW1_20220912,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2499930&dbid=0&repo=WaterResources,,GW1-2022-08923,,,Alamance,9/12/2022,Well Construction - GW1,1,
GW1-2022-06383_Well Construction - GW1_20220603,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2411198&dbid=0&repo=WaterResources,,GW1-2022-06383,,,Yadkin,6/3/2022,Well Construction - GW1,1,
GW1-2022-07807_Well Construction - GW1_20220819,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2472674&dbid=0&repo=WaterResources,,GW1-2022-07807,,,Guilford,8/19/2022,Well Construction - GW1,1,
GW1-2022-04870_Well Construction - GW1_20220520,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2346048&dbid=0&repo=WaterResources,,GW1-2022-04870,,,Yadkin,5/20/2022,Well Construction - GW1,1,
GW1-2022-00966_Well Construction - GW1_20220107,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2170284&dbid=0&repo=WaterResources,,GW1-2022-00966,,,Union,1/7/2022,Well Construction - GW1,1,
GW1-2022-05111_Well Construction - GW1_20220527,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2352841&dbid=0&repo=WaterResources,,GW1-2022-05111,,,Buncombe,5/27/2022,Well Construction - GW1,1,
GW1-2022-09474_Well Construction - GW1_20221014,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2536729&dbid=0&repo=WaterResources,,GW1-2022-09474,,,Vance,10/14/2022,Well Construction - GW1,1,
GW1-2022-01944_Well Construction - GW1_20220224,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2226255&dbid=0&repo=WaterResources,,GW1-2022-01944,,,Nash,2/24/2022,Well Construction - GW1,1,
GW1-2022-08958_Well Construction - GW1_20220919,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2507308&dbid=0&repo=WaterResources,,GW1-2022-08958,,,Jackson,9/19/2022,Well Construction - GW1,1,
GW1-2022-03709_Well Construction - GW1_20220330,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2271749&dbid=0&repo=WaterResources,,GW1-2022-03709,,,Johnston,3/30/2022,Well Construction - GW1,1,
GW1-2022-00228_Well Construction - GW1_20221216,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2645102&dbid=0&repo=WaterResources,,GW1-2022-00228,,,Catawba,12/16/2022,Well Construction - GW1,1,
GW1-2022-07048_Well Construction - GW1_20220802,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2440128&dbid=0&repo=WaterResources,,GW1-2022-07048,,,McDowell,8/2/2022,Well Construction - GW1,1,
GW1-2022-08468_Well Construction - GW1_20220503,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492333&dbid=0&repo=WaterResources,,GW1-2022-08468,,,Rowan,5/3/2022,Well Construction - GW1,1,
GW1-2022-03077_Well Construction - GW1_20220307,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2234157&dbid=0&repo=WaterResources,,GW1-2022-03077,,,Gaston,3/7/2022,Well Construction - GW1,1,
GW1-2022-04357_Well Construction - GW1_20220411,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2319465&dbid=0&repo=WaterResources,,GW1-2022-04357,,,Randolph,4/11/2022,Well Construction - GW1,1,
GW1-2022-09115_Well Construction - GW1_20220926,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2517711&dbid=0&repo=WaterResources,,GW1-2022-09115,,,Durham,9/26/2022,Well Construction - GW1,2,
GW1-2022-03132_Well Construction - GW1_20220307,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2234805&dbid=0&repo=WaterResources,,GW1-2022-03132,,,Nash,3/7/2022,Well Construction - GW1,1,
GW1-2022-09847_Well Construction - GW1_20221028,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2557872&dbid=0&repo=WaterResources,,GW1-2022-09847,,,Iredell,10/28/2022,Well Construction - GW1,1,
GW1-2022-03156_Well Construction - GW1_20220222,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2235073&dbid=0&repo=WaterResources,,GW1-2022-03156,,,Moore,2/22/2022,Well Construction - GW1,4,
GW1-2022-08390_Well Construction - GW1_20220517,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492247&dbid=0&repo=WaterResources,,GW1-2022-08390,,,Scotland,5/17/2022,Well Construction - GW1,1,
GW1-2022-08128_Well Construction - GW1_20220906,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2490743&dbid=0&repo=WaterResources,,GW1-2022-08128,,,Nash,9/6/2022,Well Construction - GW1,1,
GW1-2022-01289_Well Construction - GW1_20220112,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2180279&dbid=0&repo=WaterResources,,GW1-2022-01289,,,Person,1/12/2022,Well Construction - GW1,1,
GW1-2022-04069_Well Construction - GW1_20220425,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2307954&dbid=0&repo=WaterResources,,GW1-2022-04069,,,Iredell,4/25/2022,Well Construction - GW1,1,
GW1-2022-09257_Well Construction - GW1_20221003,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2525369&dbid=0&repo=WaterResources,,GW1-2022-09257,,,Iredell,10/3/2022,Well Construction - GW1,1,
GW1-2022-08246_Well Construction - GW1_20220907,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492085&dbid=0&repo=WaterResources,,GW1-2022-08246,,,Stokes,9/7/2022,Well Construction - GW1,1,
GW1-2022-08402_Well Construction - GW1_20220519,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492259&dbid=0&repo=WaterResources,,GW1-2022-08402,,,Guilford,5/19/2022,Well Construction - GW1,2,
GW1-2022-09731_Well Construction - GW1_20221027,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2555712&dbid=0&repo=WaterResources,,GW1-2022-09731,,,Polk,10/27/2022,Well Construction - GW1,1,
GW1-2022-09105_Well Construction - GW1_20220926,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2517408&dbid=0&repo=WaterResources,,GW1-2022-09105,,,Moore,9/26/2022,Well Construction - GW1,1,
GW1-2022-01351_Well Construction - GW1_20220124,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2188477&dbid=0&repo=WaterResources,,GW1-2022-01351,,,Mecklenburg,1/24/2022,Well Construction - GW1,1,
GW1-2022-08724_Well Construction - GW1_20220826,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492716&dbid=0&repo=WaterResources,,GW1-2022-08724,,,Currituck,8/26/2022,Well Construction - GW1,3,
GW1-2022-09207_Well Construction - GW1_20220930,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2522833&dbid=0&repo=WaterResources,,GW1-2022-09207,,,Union,9/30/2022,Well Construction - GW1,1,
GW1-2022-08754_Well Construction - GW1_20220915,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492812&dbid=0&repo=WaterResources,,GW1-2022-08754,,,Guilford,9/15/2022,Well Construction - GW1,4,
GW1-2022-06434_Well Construction - GW1_20220511,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2412778&dbid=0&repo=WaterResources,,GW1-2022-06434,,,Alamance,5/11/2022,Well Construction - GW1,1,
GW1-2022-06014_Well Construction - GW1_20220621,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2396215&dbid=0&repo=WaterResources,,GW1-2022-06014,,,Rockingham,6/21/2022,Well Construction - GW1,1,
GW1-2022-09335_Well Construction - GW1_20221007,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2529788&dbid=0&repo=WaterResources,,GW1-2022-09335,,,Person,10/7/2022,Well Construction - GW1,1,
GW1-2022-08932_Well Construction - GW1_20220919,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2506910&dbid=0&repo=WaterResources,,GW1-2022-08932,,,Yadkin,9/19/2022,Well Construction - GW1,1,
GW1-2022-01202_Well Construction - GW1_20220103,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2176234&dbid=0&repo=WaterResources,,GW1-2022-01202,,,Iredell,1/3/2022,Well Construction - GW1,1,
GW1-2022-06830_Well Construction - GW1_20220715,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2430330&dbid=0&repo=WaterResources,,GW1-2022-06830,,,Wake,7/15/2022,Well Construction - GW1,1,
GW1-2022-00897_Well Construction - GW1_20220107,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2169357&dbid=0&repo=WaterResources,,GW1-2022-00897,,,Lincoln,1/7/2022,Well Construction - GW1,1,
GW1-2022-01672_Well Construction - GW1_20220128,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2205892&dbid=0&repo=WaterResources,,GW1-2022-01672,,,Henderson,1/28/2022,Well Construction - GW1,1,
GW1-2022-03570_Well Construction - GW1_20220330,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2260732&dbid=0&repo=WaterResources,,GW1-2022-03570,,,Gaston,3/30/2022,Well Construction - GW1,4,
GW1-2022-03561_Well Construction - GW1_20220322,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2259498&dbid=0&repo=WaterResources,,GW1-2022-03561,,,Wilson,3/22/2022,Well Construction - GW1,1,
GW1-2022-02930_Well Construction - GW1_20220228,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2229159&dbid=0&repo=WaterResources,,GW1-2022-02930,,,Orange,2/28/2022,Well Construction - GW1,1,
GW1-2022-09868_Well Construction - GW1_20221028,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2558358&dbid=0&repo=WaterResources,,GW1-2022-09868,,,Lincoln,10/28/2022,Well Construction - GW1,1,
GW1-2022-03479_Well Construction - GW1_20220323,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2257277&dbid=0&repo=WaterResources,,GW1-2022-03479,,,Person,3/23/2022,Well Construction - GW1,1,
GW1-2022-08586_Well Construction - GW1_20220826,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492453&dbid=0&repo=WaterResources,,GW1-2022-08586,,,Gaston,8/26/2022,Well Construction - GW1,1,
GW1-2022-05823_Well Construction - GW1_20220609,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2380952&dbid=0&repo=WaterResources,,GW1-2022-05823,,,Gaston,6/9/2022,Well Construction - GW1,1,
GW1-2022-06735_Well Construction - GW1_20220628,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2429003&dbid=0&repo=WaterResources,,GW1-2022-06735,,,Wake,6/28/2022,Well Construction - GW1,1,
GW1-2022-04636_Well Construction - GW1_20220512,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2331985&dbid=0&repo=WaterResources,,GW1-2022-04636,,,Surry,5/12/2022,Well Construction - GW1,1,
GW1-2022-07111_Well Construction - GW1_20220801,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2449176&dbid=0&repo=WaterResources,,GW1-2022-07111,,,Watauga,8/1/2022,Well Construction - GW1,2,
GW1-2022-05103_Well Construction - GW1_20220527,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2352809&dbid=0&repo=WaterResources,,GW1-2022-05103,,,Alleghany,5/27/2022,Well Construction - GW1,1,
GW1-2022-07588_Well Construction - GW1_20220815,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2469326&dbid=0&repo=WaterResources,,GW1-2022-07588,,,Yadkin,8/15/2022,Well Construction - GW1,1,
